;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"StandardDeviation";"39,16271767986967";"29,591759156260107";"32,2647495995067";"32,517666868534064";"48,49976637568458";"40,24521780225244";"38,430039531059776";"36,6611485046065";"42,92177970599078";"35,56364249104922"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"250,19394144985836";"250,5568220414245";"251,53028365146776";"251,22756913388466";"252,20066226642814";"299,5778148316198";"299,08105309193866";"300,7374549333183";"298,53485971725524";"251,1149418279689"
"WorstSolution";"149,98158055841148";"149,3557630382953";"149,72802631966164";"149,44244904205783";"150,99806523878706";"149,54915634480707";"198,4546010281626";"149,5229128140367";"150,58155152417658";"149,0318939219192"
"Average";"207,57317493272234";"207,39327564519067";"207,43135619965355";"219,83005885169868";"212,38989180632538";"209,6171836149791";"224,45156457013664";"210,1306710908862";"214,49972846548576";"207,79115419942067"
"StandardDeviation";"28,069326624586097";"32,38942100619912";"32,58756863041958";"32,97420776742201";"27,12929023573095";"43,31193431337781";"33,410461476194165";"46,51887640769138";"38,52520509080477";"32,469444056677695"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"298,50213255029036";"300,4546473640293";"250,54485442445238";"296,9807036741916";"298,9190563088586";"299,69840933746843";"251,7471154479585";"299,37778374757863";"299,60775993704374";"298,0655311043437"
"WorstSolution";"150,02516211835038";"149,5229128140367";"148,8355429673297";"150,32070234503055";"148,67116813384737";"148,4407757415064";"149,75118816607053";"149,8829632500744";"149,14780664487407";"148,4407757415064"
"Average";"217,3435872386939";"202,54710782344284";"209,35182435814326";"217,2739367930822";"219,74453497034716";"214,57266839711852";"214,6865882235415";"219,78926932212966";"199,9227882673502";"204,43260887093948"
"StandardDeviation";"32,5728664261541";"33,33344990233698";"25,45603387742666";"35,89345516463324";"36,442238639619305";"45,19754353748606";"32,0394859969134";"39,54145403289236";"41,491957728101994";"44,1386158093332"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"300,7374549333183";"250,9503441340708";"297,4573421852183";"301,62770772183734";"252,20316196673375";"298,04871046863366";"299,77088963734906";"300,0350426855163";"299,19037430300995";"296,9807036741916"
"WorstSolution";"196,81228726829082";"150,19766370976754";"198,65184006295638";"148,4407757415064";"148,89425240612422";"199,05985761268795";"151,077105029243";"149,95668780230213";"148,67116813384735";"151,30077975637016"
"Average";"226,85770847505023";"222,18863781660698";"222,08387842894126";"244,9110043036525";"209,84165493203312";"232,09707037708608";"227,58685956290975";"219,90118266282963";"231,85262217265495";"222,44764123386977"
"StandardDeviation";"34,03040550975466";"29,330796139419093";"29,169614370747677";"47,27182727467302";"33,878071515565146";"32,149651718150764";"40,159626830047635";"36,35824274901273";"39,684616890374606";"32,94210033455255"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"299,46432505029037";"301,9829234642751";"299,1515723755774";"300,2452566277381";"298,8876597854269";"251,3471370619132";"299,65173449485906";"298,2641523701758";"298,68756204310074";"300,25256572735066"
"WorstSolution";"149,14780664487404";"148,78564780323345";"149,3051803574356";"148,11624872317836";"149,44244904205783";"148,5552554108925";"149,30518035743557";"149,1317707107733";"149,3121814783564";"150,45121794851738"
